Sidney Crosby
Nikolaj Ehlers
Jordan Eberle
Ryan Suter
Marc-Edouard Vlasic
Cory Schneider
Nicklas Backstrom
Colin Miller
Kyle Connor
Mark Stone
Mike Matheson
Marc-Andre Fleury
Patrik Laine
Evgeni Malkin
Claude Giroux
Erik Johnson
Shea Weber
Mike Smith
Connor McDavid
Leon Draisaitl
Alex Pietrangelo
Ryan O'Reilly
Jake Muzzin
Jonathan Quick
David Pastrnak
Jack Eichel
P.K. Subban
Matthew Tkachuk
Ryan Ellis
Henrik Lundqvist
Phil Kessel
Wayne Simmonds
Alex DeBrincat
Matt Dumba
Mikhail Sergachev
Antti Raanta
Patrick Kane
Steven Stamkos
Victor Hedman
Sean Monahan
Tyson Barrie
Andrei Vasilevskiy
Taylor Hall
Aleksander Barkov
Mark Scheifele
Aaron Ekblad
Charlie McAvoy
Matt Murray
Vladimir Tarasenko
Dustin Byfuglien
Mikael Granlund
Ryan Johansen
Mattias Ekholm
Braden Holtby
Jonathan Marchessault
Ryan Getzlaf
Brayden Point
Mark Giordano
Alex Goligoski
Pekka Rinne
Jamie Benn
Evgeny Kuznetsov
Alexander Radulov
John Klingberg
Oliver Ekman-Larsson
Sergei Bobrovsky
Johnny Gaudreau
Anze Kopitar
Mitchell Marner
Zach Werenski
Brandon Montour
Connor Hellebuyck
Brad Marchand
Shayne Gostisbehere
Dougie Hamilton
Reilly Smith
Nazem Kadri
Cam Talbot
John Tavares
Seth Jones
Mikko Rantanen
Brock Boeser
Duncan Keith
Devan Dubnyk
Alex Ovechkin
Tyler Seguin
Auston Matthews
Brent Burns
Kevin Shattenkirk
Carey Price
Nathan MacKinnon
Blake Wheeler
Artemi Panarin
Erik Karlsson
Torey Krug
Frederik Andersen
Filip Forsberg
Vincent Trocheck
Brayden Schenn
Kristopher Letang
Ivan Provorov
John Gibson
Nikita Kucherov
Patrice Bergeron
Drew Doughty
Roman Josi
William Nylander
Tuukka Rask
